Status,Handle,ID,Name,Followers,Tweets,Date Created,Date Active,Image
Suspended,@duhduhduh123,848040384039067648,Not a Victim,236,818,2017-03-31,2017-03-31,https://pbs.twimg.com/profile_images/885653588541751296/JqZTwSzN_normal.jpg
Suspended,@DukeSoftpaws,864299780364783616,Chris Thatch,28,1250,2017-05-15,2017-05-15,https://pbs.twimg.com/profile_images/985641560925614081/u5GE1dD3_normal.jpg
Suspended,@dunnyonthewold1,1013928683655041035,dunny on the wold antifa,5,5,2018-07-02,2018-07-02,https://pbs.twimg.com/profile_images/1013930126604685313/_njNEKSg_normal.jpg
Suspended,@EastCoastAntifa,896801871079383040,East Coast Antifa,7,34,2017-08-13,2017-08-13,https://pbs.twimg.com/profile_images/943750075959971841/YV6Mc5c3_normal.jpg
Suspended,@ElPasoAntifa,847710049690460166,El Paso Antifa,23,10,2017-03-31,2017-03-31,https://pbs.twimg.com/profile_images/847710896319111170/jFoNTgQt_normal.jpg
Suspended,@ElRedPill,850165175038525441,El Red Pill,366,629,2017-04-06,2017-04-06,https://pbs.twimg.com/profile_images/915145265962672128/DqXVf_80_normal.jpg
Suspended,@Evan_NJ_Antifa,868645640485703681,Central NJ Antifa,13,173,2017-05-27,2017-05-27,https://pbs.twimg.com/profile_images/868648135400202240/cAQYrhkE_normal.jpg
Suspended,@Feminist_Antifa,890640350435565569,Feminist AntiFa🏴‍☠️🖤,36,112,2017-07-27,2017-07-27,https://pbs.twimg.com/profile_images/891671221313708033/DQu4Jh2v_normal.jpg
Suspended,@goldvoid16,807598862311493632,LGBT Antifa Comrade,11,17,2016-12-10,2016-12-10,https://pbs.twimg.com/profile_images/914490199970861056/yWcONTNz_normal.jpg
Suspended,@Goy90005356,1162760557692428288,SoyDrinker#8814,1,48,2019-08-17,2019-08-17,https://pbs.twimg.com/profile_images/1162763657392078849/hMVIP96U_normal.jpg
Suspended,@HonoluluAntifa,846227403978420225,Honolulu Antifa,6,1,2017-03-26,2017-03-26,https://pbs.twimg.com/profile_images/846228045954400262/KhxVLT39_normal.jpg
Suspended,@IdaResistDrumpf,848417567517458434,STOP FREE SPEECH .ORG,232,2979,2017-04-02,2017-04-02,https://pbs.twimg.com/profile_images/1316982478595239937/yHUde02j_normal.jpg
Suspended,@josheweintraub,806986444602490881,Joshua,5,17,2016-12-08,2016-12-08,https://pbs.twimg.com/profile_images/806987566734049281/n5QGWASI_normal.jpg
Suspended,@KekistanANTIFA,847625197293154305,Kekistan Antifa,157,111,2017-03-30,2017-03-30,https://pbs.twimg.com/profile_images/847631301695766528/7Ht3LV74_normal.jpg
Suspended,@killallfash,900507119925047296,LEFTIST MAN,3,35,2017-08-23,2017-08-23,https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png
Suspended,@KommunistBigMac,891671500260069376,McDonalds AntiFa,15,41,2017-07-30,2017-07-30,https://pbs.twimg.com/profile_images/891672747004309506/Ji94O9Bl_normal.jpg
Suspended,@LamorindaAntifa,848746610267791360,LamorindaMoms Antifa,2,4,2017-04-02,2017-04-02,https://pbs.twimg.com/profile_images/884135679592026112/hKhVrRcT_normal.jpg
Suspended,@LastKangofScot,901158648990371840,Pitbullsdindunuffing,1,21,2017-08-25,2017-08-25,https://pbs.twimg.com/profile_images/904114155518652416/6oP6vr4b_normal.jpg
Suspended,@LATINO_ANTIFA,900595446976057347,LATINOANTIFAFURY,5,9,2017-08-23,2017-08-23,https://pbs.twimg.com/profile_images/900598943301738496/XDkndkxi_normal.jpg
Suspended,@MelbAntifa,847765769895018496,Melbourne Antifa,22,1,2017-03-31,2017-03-31,https://pbs.twimg.com/profile_images/847766818211090432/w4ySEFq2_normal.jpg
Suspended,@MiamiAntifa,846231159767916546,Miami Antifa,13,2,2017-03-26,2017-03-26,https://pbs.twimg.com/profile_images/846231687671406592/KGudY_ZV_normal.jpg
Suspended,@MidwestAntifa,920458746240921601,Midwest Antifa,20,13,2017-10-17,2017-10-17,https://pbs.twimg.com/profile_images/920462465812529153/bmi9KBVh_normal.jpg
Suspended,@MommyAntifa,849673902519443460,Antifa Mommy,4,44,2017-04-05,2017-04-05,https://pbs.twimg.com/profile_images/849676465125949440/YhZxIAtp_normal.jpg
